res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
477498049,Male,29,2,4,3,3,3
403961544,Male,46,1,2,1,1,2
423861147,Female,27,1,1,1,1,1
407014841,Male,58,1,1,1,1,2
411010242,Male,35,2,1,1,1,2
463164345,Male,54,1,1,1,1,1
463087940,Male,54,3,3,3,2,2
423387543,Male,44,1,1,1,1,2
473487248,Male,75,3,2,2,2,3
444643340,Male,51,2,2,1,1,4
423687447,Male,50,2,2,2,2,2
403874340,Female,28,2,1,1,1,2
453013245,Female,58,1,1,1,1,1
473943141,Male,28,3,2,2,2,2
464898043,Female,64,2,1,1,1,1
433763047,Female,68,1,1,1,1,2
434968141,Female,50,1,1,3,2,2
421773345,Male,35,4,1,2,3,1
473257843,Male,60,2,1,1,1,1
497403947,Female,39,2,2,2,2,4
487129343,Male,61,3,1,2,2,1
431371246,Male,20,2,2,2,2,2
493898144,Male,55,1,1,2,2,2
464643646,Female,55,1,1,1,1,1
447178940,Male,47,1,2,1,1,1
423808948,Male,62,1,2,1,1,1
483355545,Male,38,2,3,2,2,3
421934645,Female,51,3,2,4,4,1
413161446,Male,34,4,3,2,3,2
467606749,Female,29,1,1,1,1,2
463448245,Female,59,2,1,1,1,1
483594043,Female,57,1,1,1,1,3
443598043,Male,63,3,3,4,4,3
491114043,Male,54,2,2,1,1,1
423478647,Female,61,1,1,1,1,1
451901847,Female,28,1,2,1,1,1
474564340,Male,66,2,3,1,3,1
443294744,Female,45,2,1,2,2,1
423342046,Female,34,4,1,1,1,2
477780143,Male,27,2,1,2,2,2
453654647,Female,61,1,1,1,1,1
464050549,Female,58,3,2,1,1,2
471740340,Female,73,1,1,1,1,4
481214744,Male,46,1,4,4,4,3
414744247,Male,66,1,2,1,1,2
407987140,Female,20,2,1,1,1,2
434544946,Female,56,1,1,1,1,1
427585646,Female,22,1,1,1,1,1
484303240,Male,41,1,1,1,1,1
404073343,Female,30,2,2,2,2,3
467219142,Female,46,1,2,1,2,3
481993843,Male,36,1,1,1,1,1
431636045,Male,30,2,2,3,3,1
451491149,Male,52,2,1,1,1,2
433608841,Male,23,3,2,3,4,1
467711447,Male,46,2,1,1,1,2
464743642,Female,67,1,1,1,1,1
471423449,Male,56,2,1,1,2,2
483041446,Female,67,1,1,1,1,1
453833449,Male,49,1,1,1,1,1
491364142,Male,51,3,2,1,1,2
407538241,Male,41,1,1,1,1,1
493197447,Female,28,1,2,1,1,2
427346946,Male,66,1,1,1,1,1
407990844,Female,22,1,3,2,3,3
481941341,Male,50,2,1,1,1,2
453894149,Female,46,4,3,3,3,3
471021049,Male,20,1,2,1,1,1
463894945,Male,37,2,2,2,2,2
487589643,Male,54,1,1,1,1,1
407668445,Male,29,1,4,4,4,4
464867840,Male,49,3,2,2,2,2
403387346,Male,49,2,1,2,1,2
431801540,Female,71,2,3,2,1,1
433387140,Male,50,3,3,2,3,2
491714841,Male,41,4,1,1,1,1
454608341,Male,62,1,1,1,1,4
